region,variety,process,moisture,elevation,target
guayata,Caturra,Washed / Wet,0.1100,mid,good
guayata,Caturra,Washed / Wet,0.0000,mid,fair
huila,Caturra,Natural / Dry,0.1100,high,fair
huila,Caturra,Natural / Dry,0.0000,low,good
huila,Caturra,Natural / Dry,0.1200,low,good
huila,Caturra,Natural / Dry,0.0000,low,good
huila,Caturra,Natural / Dry,0.0000,high,fair
huila,Caturra,Natural / Dry,0.1100,low,good
huila,Caturra,Natural / Dry,0.1200,low,good
huila,Caturra,Natural / Dry,0.0000,low,poor
huila,Caturra,Natural / Dry,0.0000,low,good
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,poor
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.1100,high,fair
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,fair
huila,Caturra,Washed / Wet,0.1200,high,fair
huila,Caturra,Washed / Wet,0.1100,high,poor
huila,Caturra,Washed / Wet,0.0000,high,poor
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,poor
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,low,great
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1200,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1200,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.0000,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
huila,Caturra,Washed / Wet,0.1100,high,good
