country,region,variety,process,moisture,elevation,target
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,high,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,high,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.1100,mid,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,high,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,mid,fair
Colombia,eje cafetero,Caturra,Natural / Dry,0.0000,mid,good
Colombia,guayata,Caturra,Washed / Wet,0.1100,mid,good
Colombia,guayata,Caturra,Washed / Wet,0.1100,mid,good
Colombia,guayata,Caturra,Washed / Wet,0.0000,mid,fair
Colombia,huila,Caturra,Natural / Dry,0.1100,high,fair
Colombia,huila,Caturra,Natural / Dry,0.0000,low,good
Colombia,huila,Caturra,Natural / Dry,0.1200,low,good
Colombia,huila,Caturra,Natural / Dry,0.0000,low,good
Colombia,huila,Caturra,Natural / Dry,0.0000,high,fair
Colombia,huila,Caturra,Natural / Dry,0.1100,low,good
Colombia,huila,Caturra,Natural / Dry,0.1200,low,good
Colombia,huila,Caturra,Natural / Dry,0.0000,low,poor
Colombia,huila,Caturra,Natural / Dry,0.0000,low,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,poor
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1200,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,poor
Colombia,huila,Caturra,Washed / Wet,0.0000,high,poor
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,poor
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,low,great
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1200,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1200,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,low,good
Colombia,huila,Caturra,Washed / Wet,0.1100,low,good
Colombia,huila,Caturra,Washed / Wet,0.1200,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1200,low,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,poor
Colombia,huila,Caturra,Washed / Wet,0.0000,high,great
Colombia,huila,Caturra,Washed / Wet,0.0000,high,great
Colombia,huila,Caturra,Washed / Wet,0.0000,high,great
Colombia,huila,Caturra,Washed / Wet,0.1200,high,great
Colombia,huila,Caturra,Washed / Wet,0.1100,high,great
Colombia,huila,Caturra,Washed / Wet,0.0000,high,great
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,great
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1100,high,good
Colombia,huila,Caturra,Washed / Wet,0.1200,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,low,fair
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Caturra,Washed / Wet,0.1200,high,good
Colombia,huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,huila,Other,Washed / Wet,0.1200,mid,fair
Colombia,huila,Other,Washed / Wet,0.1100,mid,good
Colombia,huila,Other,Washed / Wet,0.0000,mid,fair
Colombia,huila,Other,Washed / Wet,0.0000,mid,good
Colombia,huila,Typica,Washed / Wet,0.1200,low,fair
Colombia,huila supremo,Caturra,Washed / Wet,0.0000,high,good
Colombia,la plata,Caturra,Washed / Wet,0.1100,high,good
Colombia,la plata,Caturra,Washed / Wet,0.1200,high,good
Colombia,nariño,Caturra,Natural / Dry,0.1100,high,good
Colombia,nariño,Caturra,Washed / Wet,0.0000,high,good
Colombia,pasto,Caturra,Natural / Dry,0.0000,high,great
Colombia,pereira,Caturra,Washed / Wet,0.0000,mid,poor
Colombia,pitalito,Caturra,Natural / Dry,0.0000,low,good
Colombia,pitalito,Caturra,Natural / Dry,0.1100,low,good
Colombia,pitalito,Caturra,Natural / Dry,0.1100,low,good
Colombia,pitalito,Caturra,Natural / Dry,0.0000,low,good
Colombia,santander,Caturra,Natural / Dry,0.1200,mid,great
Colombia,santander,Caturra,Natural / Dry,0.1200,mid,fair
Colombia,santander,Caturra,Natural / Dry,0.1200,mid,great
Colombia,santander,Caturra,Natural / Dry,0.0000,mid,fair
Colombia,santander,Caturra,Washed / Wet,0.1200,mid,good
Colombia,santander,Caturra,Washed / Wet,0.0000,mid,good
Colombia,santander,Caturra,Washed / Wet,0.1100,high,good
Colombia,santander,Caturra,Washed / Wet,0.1100,mid,great
Colombia,santander,Caturra,Washed / Wet,0.0000,mid,great
Colombia,santander,Caturra,Washed / Wet,0.0000,mid,good
Colombia,santander,Other,Washed / Wet,0.0000,mid,good
Colombia,santander,Typica,Natural / Dry,0.0000,high,fair
Colombia,south huila,Caturra,Washed / Wet,0.0000,high,good
Colombia,tolima,Caturra,Washed / Wet,0.1200,mid,great
Costa Rica,brunca,Catuai,Washed / Wet,0.1000,low,fair
Costa Rica,central valley,Catuai,Washed / Wet,0.1100,mid,fair
Costa Rica,central valley,Catuai,Washed / Wet,0.1000,mid,poor
Costa Rica,central valley,Catuai,Washed / Wet,0.1100,mid,poor
Costa Rica,central valley,Catuai,Washed / Wet,0.1000,mid,fair
Costa Rica,central valley,Catuai,Washed / Wet,0.1100,mid,good
Costa Rica,central valley,Catuai,Washed / Wet,0.1000,mid,poor
Costa Rica,central valley,Catuai,Washed / Wet,0.1100,mid,good
Costa Rica,naranjo,Caturra,Washed / Wet,0.1300,mid,poor
Costa Rica,occidental,Caturra,Washed / Wet,0.1200,mid,poor
Costa Rica,occidental,Caturra,Washed / Wet,0.1200,mid,poor
Costa Rica,occidental,Caturra,Washed / Wet,0.1100,mid,poor
Costa Rica,san ramon,Caturra,Washed / Wet,0.1100,mid,poor
Costa Rica,san ramon,Caturra,Washed / Wet,0.1100,mid,great
Costa Rica,san ramon,Caturra,Washed / Wet,0.1000,mid,good
Costa Rica,san ramon,Caturra,Washed / Wet,0.1200,mid,good
Costa Rica,tarrazu,Catuai,Pulped natural / honey,0.1100,high,fair
Costa Rica,tarrazu,Catuai,Pulped natural / honey,0.0000,high,poor
Costa Rica,tarrazu,Catuai,Washed / Wet,0.0000,mid,poor
Costa Rica,tarrazu,Catuai,Washed / Wet,0.1200,high,great
Costa Rica,tarrazu,Catuai,Washed / Wet,0.1000,mid,good
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1200,high,great
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1100,high,great
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1000,mid,great
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0900,high,good
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0000,high,good
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0000,high,good
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1100,high,poor
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1100,low,fair
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0000,high,fair
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0900,high,fair
Costa Rica,tarrazu,Caturra,Washed / Wet,0.0900,high,fair
Costa Rica,tarrazu,Caturra,Washed / Wet,0.1000,high,fair
Costa Rica,tres rios,Bourbon,Semi-washed / Semi-pulped,0.1200,mid,great
Costa Rica,tres rios,Caturra,Washed / Wet,0.0000,mid,fair
Costa Rica,tres rios,Caturra,Washed / Wet,0.0900,mid,fair
Costa Rica,tres rios,Caturra,Washed / Wet,0.1100,mid,fair
Costa Rica,turrialba,Caturra,Washed / Wet,0.1200,low,fair
Costa Rica,turrialba,Caturra,Washed / Wet,0.1100,low,poor
Costa Rica,valle central,Caturra,Washed / Wet,0.1000,mid,good
Costa Rica,west and central valley,Caturra,Washed / Wet,0.0000,mid,great
Costa Rica,west valley,Catuai,Washed / Wet,0.1100,mid,good
Costa Rica,west valley,Caturra,Washed / Wet,0.0000,mid,great
El Salvador,apaneca,Bourbon,Natural / Dry,0.1100,mid,great
El Salvador,apaneca,Bourbon,Washed / Wet,0.1000,mid,great
El Salvador,apaneca,Bourbon,Washed / Wet,0.0000,mid,great
El Salvador,apaneca,Bourbon,Washed / Wet,0.1200,mid,good
El Salvador,apaneca,Bourbon,Washed / Wet,0.0000,mid,poor
El Salvador,apaneca,Bourbon,Washed / Wet,0.1100,mid,fair
El Salvador,apaneca,Bourbon,Washed / Wet,0.0000,mid,fair
El Salvador,apaneca,Bourbon,Washed / Wet,0.0000,mid,fair
El Salvador,"ataco, apaneca - ilamatepec mountain range",Bourbon,Semi-washed / Semi-pulped,0.1100,mid,great
El Salvador,cacahuatique,Bourbon,Washed / Wet,0.0000,mid,poor
El Salvador,cacahuatique,Bourbon,Washed / Wet,0.0000,mid,good
El Salvador,"department of ahuachapan, municipality of apanecallamatepec mountain",Bourbon,Washed / Wet,0.0000,mid,poor
El Salvador,"el balsamo, quezaltepec",Bourbon,Washed / Wet,0.1100,mid,good
El Salvador,"el balsamo, quezaltepec",Pacas,Washed / Wet,0.0000,mid,good
El Salvador,"el balsamo, quezaltepec",Pacas,Washed / Wet,0.0000,mid,good
Ethiopia,"ethiopia, sidamo",Other,Natural / Dry,0.0900,high,great
Ethiopia,guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
Ethiopia,guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
Ethiopia,guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.1200,high,great
Ethiopia,guji-hambela,Ethiopian Heirlooms,Washed / Wet,0.0000,high,good
Ethiopia,kafa,Gesha,Natural / Dry,0.1000,high,great
Ethiopia,kafa,Gesha,Natural / Dry,0.1000,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.1100,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.0300,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.0300,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.1000,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.0500,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.1000,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.1200,high,great
Ethiopia,oromia,oromia,Natural / Dry,0.1200,high,good
Ethiopia,oromia,oromia,Natural / Dry,0.1000,mid,good
Ethiopia,oromia,oromia,Washed / Wet,0.1000,high,great
Ethiopia,oromia,oromia,Washed / Wet,0.1000,high,great
Ethiopia,sidamo,Gesha,Natural / Dry,0.1100,high,good
Ethiopia,sidamo,yirgacheffe,Natural / Dry,0.0100,high,great
Ethiopia,sidamo,yirgacheffe,Natural / Dry,0.1000,high,great
Ethiopia,sidamo,yirgacheffe,Natural / Dry,0.1000,high,great
Ethiopia,sidamo,yirgacheffe,Natural / Dry,0.2000,high,good
Ethiopia,sidamo,yirgacheffe,Natural / Dry,0.0900,mid,good
Ethiopia,yirgacheffe,yirgacheffe,Washed / Wet,0.1000,high,great
Ethiopia,yirgacheffe,yirgacheffe,Washed / Wet,0.0000,high,good
Guatemala,acatenango,Bourbon,Washed / Wet,0.1200,mid,great
Guatemala,acatenango,Bourbon,Washed / Wet,0.1000,mid,great
Guatemala,acatenango,Bourbon,Washed / Wet,0.1200,mid,great
Guatemala,"aldea xeucalvitz, ixil region, quiche department",Bourbon,Washed / Wet,0.1000,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1100,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1100,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1100,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1000,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1000,mid,fair
Guatemala,antigua,Bourbon,Washed / Wet,0.1000,mid,good
Guatemala,antigua,Bourbon,Washed / Wet,0.1100,mid,fair
Guatemala,antigua,Bourbon,Washed / Wet,0.1100,mid,fair
Guatemala,antigua,Caturra,Natural / Dry,0.1000,mid,great
Guatemala,antigua,Caturra,Washed / Wet,0.1000,mid,good
Guatemala,antigua,Caturra,Washed / Wet,0.1000,mid,good
Guatemala,antigua,Caturra,Washed / Wet,0.1100,mid,good
Guatemala,antigua,Caturra,Washed / Wet,0.1100,mid,good
Guatemala,antigua,Caturra,Washed / Wet,0.1100,mid,good
Guatemala,atitlan,Bourbon,Washed / Wet,0.0900,mid,fair
Guatemala,atitlan,Caturra,Washed / Wet,0.1000,mid,fair
Guatemala,atitlan,Caturra,Washed / Wet,0.1000,mid,good
Guatemala,atitlan,Caturra,Washed / Wet,0.1000,mid,fair
Guatemala,el progreso,Bourbon,Washed / Wet,0.1200,low,good
Guatemala,el progreso,Bourbon,Washed / Wet,0.1200,low,fair
Guatemala,"el tumbador, san marcos",Catuai,Washed / Wet,0.1100,mid,good
Guatemala,huehuetenango,Bourbon,Natural / Dry,0.1100,mid,fair
Guatemala,huehuetenango,Bourbon,Washed / Wet,0.1200,high,fair
Guatemala,huehuetenango,Bourbon,Washed / Wet,0.1000,mid,fair
Guatemala,huehuetenango,Bourbon,Washed / Wet,0.1100,high,good
Guatemala,huehuetenango,Bourbon,Washed / Wet,0.1000,high,fair
Guatemala,huehuetenango,Bourbon,Washed / Wet,0.1100,high,great
Guatemala,huehuetenango,Caturra,Washed / Wet,0.0000,mid,great
Guatemala,huehuetenango,Caturra,Washed / Wet,0.1000,low,great
Guatemala,huehuetenango,Caturra,Washed / Wet,0.1100,mid,good
Guatemala,huehuetenango,Caturra,Washed / Wet,0.1200,high,great
Guatemala,huehuetenango,Caturra,Washed / Wet,0.1100,mid,good
Guatemala,huehuetenango,Caturra,Washed / Wet,0.1200,high,poor
Guatemala,huehuetenango,Pacamara,Natural / Dry,0.1100,high,good
Guatemala,huehuetenango,Pacamara,Washed / Wet,0.0900,high,fair
Guatemala,jalapa,Bourbon,Washed / Wet,0.1100,high,good
Guatemala,jalapa,Bourbon,Washed / Wet,0.1100,high,fair
Guatemala,jalapa,Pacas,Washed / Wet,0.1300,mid,fair
Guatemala,jalapa,Pacas,Washed / Wet,0.1200,mid,good
Guatemala,jalapa,Pacas,Washed / Wet,0.1100,mid,great
Guatemala,jalapa,Pacas,Washed / Wet,0.1200,mid,fair
Guatemala,"la reforma, san marcos",Bourbon,Washed / Wet,0.1000,mid,good
Guatemala,norte,Bourbon,Washed / Wet,0.1000,high,fair
Guatemala,norte,Bourbon,Washed / Wet,0.0900,high,poor
Guatemala,norte,Bourbon,Washed / Wet,0.1000,high,great
Guatemala,nuevo oriente,Catuai,Washed / Wet,0.1000,mid,great
Guatemala,nuevo oriente,Catuai,Washed / Wet,0.1100,mid,good
Guatemala,nuevo oriente,Catuai,Washed / Wet,0.1100,mid,good
Guatemala,nuevo oriente,Catuai,Washed / Wet,0.1100,mid,poor
Guatemala,nuevo oriente,Catuai,Washed / Wet,0.1000,mid,poor
Guatemala,nuevo oriente,Pacas,Washed / Wet,0.1100,mid,fair
Guatemala,nuevo oriente,Pacas,Washed / Wet,0.1100,high,good
Guatemala,occidente,Bourbon,Washed / Wet,0.1100,mid,poor
Guatemala,orient,Caturra,Washed / Wet,0.1100,mid,poor
Guatemala,oriente,Bourbon,Natural / Dry,0.1000,mid,great
Guatemala,oriente,Bourbon,Natural / Dry,0.1000,mid,good
Guatemala,oriente,Bourbon,other,0.1000,mid,great
Guatemala,oriente,Bourbon,other,0.1000,mid,great
Guatemala,oriente,Bourbon,Washed / Wet,0.1100,mid,great
Guatemala,oriente,Bourbon,Washed / Wet,0.0900,mid,great
Guatemala,oriente,Bourbon,Washed / Wet,0.1100,mid,great
Guatemala,oriente,Bourbon,Washed / Wet,0.1100,mid,good
