country,variety,process,moisture,target
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.1200,fair
Colombia,Caturra,Washed / Wet,0.1100,poor
Colombia,Caturra,Washed / Wet,0.0000,poor
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,poor
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,great
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,fair
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,poor
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.1200,great
Colombia,Caturra,Washed / Wet,0.1100,great
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Other,Washed / Wet,0.1200,fair
Colombia,Other,Washed / Wet,0.1100,good
Colombia,Other,Washed / Wet,0.0000,fair
Colombia,Other,Washed / Wet,0.0000,good
Colombia,Typica,Washed / Wet,0.1200,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Natural / Dry,0.1100,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Natural / Dry,0.0000,great
Colombia,Caturra,Washed / Wet,0.0000,poor
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Natural / Dry,0.1100,good
Colombia,Caturra,Natural / Dry,0.1100,good
Colombia,Caturra,Natural / Dry,0.0000,good
Colombia,Caturra,Natural / Dry,0.1200,great
Colombia,Caturra,Natural / Dry,0.1200,fair
Colombia,Caturra,Natural / Dry,0.1200,great
Colombia,Caturra,Natural / Dry,0.0000,fair
Colombia,Caturra,Washed / Wet,0.1200,good
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1100,good
Colombia,Caturra,Washed / Wet,0.1100,great
Colombia,Caturra,Washed / Wet,0.0000,great
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Other,Washed / Wet,0.0000,good
Colombia,Typica,Natural / Dry,0.0000,fair
Colombia,Caturra,Washed / Wet,0.0000,good
Colombia,Caturra,Washed / Wet,0.1200,great
Costa Rica,Catuai,Washed / Wet,0.1000,fair
Costa Rica,Catuai,Washed / Wet,0.1100,fair
Costa Rica,Catuai,Washed / Wet,0.1000,poor
Costa Rica,Catuai,Washed / Wet,0.1100,poor
Costa Rica,Catuai,Washed / Wet,0.1000,fair
Costa Rica,Catuai,Washed / Wet,0.1100,good
Costa Rica,Catuai,Washed / Wet,0.1000,poor
Costa Rica,Catuai,Washed / Wet,0.1100,good
Costa Rica,Caturra,Washed / Wet,0.1300,poor
Costa Rica,Caturra,Washed / Wet,0.1200,poor
Costa Rica,Caturra,Washed / Wet,0.1200,poor
Costa Rica,Caturra,Washed / Wet,0.1100,poor
Costa Rica,Caturra,Washed / Wet,0.1100,poor
Costa Rica,Caturra,Washed / Wet,0.1100,great
Costa Rica,Caturra,Washed / Wet,0.1000,good
Costa Rica,Caturra,Washed / Wet,0.1200,good
Costa Rica,Catuai,Pulped natural / honey,0.1100,fair
Costa Rica,Catuai,Pulped natural / honey,0.0000,poor
Costa Rica,Catuai,Washed / Wet,0.0000,poor
Costa Rica,Catuai,Washed / Wet,0.1200,great
Costa Rica,Catuai,Washed / Wet,0.1000,good
Costa Rica,Caturra,Washed / Wet,0.1200,great
Costa Rica,Caturra,Washed / Wet,0.1100,great
Costa Rica,Caturra,Washed / Wet,0.1000,great
Costa Rica,Caturra,Washed / Wet,0.0900,good
Costa Rica,Caturra,Washed / Wet,0.0000,good
Costa Rica,Caturra,Washed / Wet,0.0000,good
Costa Rica,Caturra,Washed / Wet,0.1100,poor
Costa Rica,Caturra,Washed / Wet,0.1100,fair
Costa Rica,Caturra,Washed / Wet,0.0000,fair
Costa Rica,Caturra,Washed / Wet,0.0900,fair
Costa Rica,Caturra,Washed / Wet,0.0900,fair
Costa Rica,Caturra,Washed / Wet,0.1000,fair
Costa Rica,Bourbon,Semi-washed / Semi-pulped,0.1200,great
Costa Rica,Caturra,Washed / Wet,0.0000,fair
Costa Rica,Caturra,Washed / Wet,0.0900,fair
Costa Rica,Caturra,Washed / Wet,0.1100,fair
Costa Rica,Caturra,Washed / Wet,0.1200,fair
Costa Rica,Caturra,Washed / Wet,0.1100,poor
Costa Rica,Caturra,Washed / Wet,0.1000,good
Costa Rica,Caturra,Washed / Wet,0.0000,great
Costa Rica,Catuai,Washed / Wet,0.1100,good
Costa Rica,Caturra,Washed / Wet,0.0000,great
El Salvador,Bourbon,Natural / Dry,0.1100,great
El Salvador,Bourbon,Washed / Wet,0.1000,great
El Salvador,Bourbon,Washed / Wet,0.0000,great
El Salvador,Bourbon,Washed / Wet,0.1200,good
El Salvador,Bourbon,Washed / Wet,0.0000,poor
El Salvador,Bourbon,Washed / Wet,0.1100,fair
El Salvador,Bourbon,Washed / Wet,0.0000,fair
El Salvador,Bourbon,Washed / Wet,0.0000,fair
El Salvador,Bourbon,Semi-washed / Semi-pulped,0.1100,great
El Salvador,Bourbon,Washed / Wet,0.0000,poor
El Salvador,Bourbon,Washed / Wet,0.0000,good
El Salvador,Bourbon,Washed / Wet,0.0000,poor
El Salvador,Bourbon,Washed / Wet,0.1100,good
El Salvador,Pacas,Washed / Wet,0.0000,good
El Salvador,Pacas,Washed / Wet,0.0000,good
Ethiopia,Other,Natural / Dry,0.0900,great
Ethiopia,Ethiopian Heirlooms,Washed / Wet,0.1200,great
Ethiopia,Ethiopian Heirlooms,Washed / Wet,0.1200,great
Ethiopia,Ethiopian Heirlooms,Washed / Wet,0.1200,great
Ethiopia,Ethiopian Heirlooms,Washed / Wet,0.0000,good
Ethiopia,Gesha,Natural / Dry,0.1000,great
Ethiopia,Gesha,Natural / Dry,0.1000,great
Ethiopia,oromia,Natural / Dry,0.1100,great
Ethiopia,oromia,Natural / Dry,0.0300,great
Ethiopia,oromia,Natural / Dry,0.0300,great
Ethiopia,oromia,Natural / Dry,0.1000,great
Ethiopia,oromia,Natural / Dry,0.0500,great
Ethiopia,oromia,Natural / Dry,0.1000,great
Ethiopia,oromia,Natural / Dry,0.1200,great
Ethiopia,oromia,Natural / Dry,0.1200,good
Ethiopia,oromia,Natural / Dry,0.1000,good
Ethiopia,oromia,Washed / Wet,0.1000,great
Ethiopia,oromia,Washed / Wet,0.1000,great
Ethiopia,Gesha,Natural / Dry,0.1100,good
Ethiopia,yirgacheffe,Natural / Dry,0.0100,great
Ethiopia,yirgacheffe,Natural / Dry,0.1000,great
Ethiopia,yirgacheffe,Natural / Dry,0.1000,great
Ethiopia,yirgacheffe,Natural / Dry,0.2000,good
Ethiopia,yirgacheffe,Natural / Dry,0.0900,good
Ethiopia,yirgacheffe,Washed / Wet,0.1000,great
Ethiopia,yirgacheffe,Washed / Wet,0.0000,good
Guatemala,Bourbon,Washed / Wet,0.1200,great
